tweet_id,retweets,favorites,creation_time
819004803107983360,35025,83595,2017-01-11 02:15:36+00:00
818646164899774465,19739,0,2017-01-10 02:30:30+00:00
818627210458333184,7154,21488,2017-01-10 01:15:10+00:00
818614493328580609,2379,9426,2017-01-10 00:24:38+00:00
818588835076603904,5764,0,2017-01-09 22:42:41+00:00
818536468981415936,2307,10386,2017-01-09 19:14:36+00:00
818307523543449600,7574,0,2017-01-09 04:04:51+00:00
818259473185828864,2123,10528,2017-01-09 00:53:55+00:00
818145370475810820,2402,11759,2017-01-08 17:20:31+00:00
817908911860748288,751,4653,2017-01-08 01:40:55+00:00
817827839487737858,25500,49213,2017-01-07 20:18:46+00:00
817777686764523521,2546,10347,2017-01-07 16:59:28+00:00
817536400337801217,2766,11264,2017-01-07 01:00:41+00:00
817502432452313088,3194,0,2017-01-06 22:45:43+00:00
817423860136083457,13794,32262,2017-01-06 17:33:29+00:00
817415592588222464,899,5361,2017-01-06 17:00:38+00:00
817181837579653120,7984,0,2017-01-06 01:31:47+00:00
817171292965273600,1901,8407,2017-01-06 00:49:53+00:00
817120970343411712,2452,11691,2017-01-05 21:29:55+00:00
817056546584727552,1548,8243,2017-01-05 17:13:55+00:00
816829038950027264,4445,0,2017-01-05 02:09:53+00:00
816816676327063552,1912,9601,2017-01-05 01:20:46+00:00
816697700272001025,2074,9378,2017-01-04 17:27:59+00:00
816450570814898180,7574,29050,2017-01-04 01:05:59+00:00
816336735214911488,1825,8262,2017-01-03 17:33:39+00:00
816091915477250048,2011,8582,2017-01-03 01:20:49+00:00
816062466425819140,958,0,2017-01-02 23:23:48+00:00
816014286006976512,4949,0,2017-01-02 20:12:21+00:00
815990720817401858,958,4747,2017-01-02 18:38:42+00:00
815966073409433600,7984,21431,2017-01-02 17:00:46+00:00
815745968457060357,3918,0,2017-01-02 02:26:09+00:00
815736392542261248,2146,9444,2017-01-02 01:48:06+00:00
815639385530101762,1569,7910,2017-01-01 19:22:38+00:00
815390420867969024,3620,9926,2017-01-01 02:53:20+00:00
814986499976527872,1200,7341,2016-12-31 00:08:17+00:00
814638523311648768,2550,10835,2016-12-30 01:05:33+00:00
814578408554463233,5533,0,2016-12-29 21:06:41+00:00
814530161257443328,1753,8296,2016-12-29 17:54:58+00:00
814153002265309185,8210,27613,2016-12-28 16:56:16+00:00
813944609378369540,3005,0,2016-12-28 03:08:11+00:00
813910438903693312,1763,8953,2016-12-28 00:52:25+00:00
813812741911748608,13224,34995,2016-12-27 18:24:12+00:00
813800681631023104,1671,7988,2016-12-27 17:36:16+00:00
813217897535406080,6931,17876,2016-12-26 03:00:30+00:00
813202720496779264,1731,8886,2016-12-26 02:00:11+00:00
813187593374461952,4108,19098,2016-12-26 01:00:05+00:00
813172488309972993,1832,8919,2016-12-26 00:00:03+00:00
813157409116065792,2087,7455,2016-12-25 23:00:08+00:00
813142292504645637,2274,8182,2016-12-25 22:00:04+00:00
813130366689148928,425,4320,2016-12-25 21:12:41+00:00
813127251579564032,2950,11352,2016-12-25 21:00:18+00:00
813112105746448384,2596,9917,2016-12-25 20:00:07+00:00
813096984823349248,3442,10158,2016-12-25 19:00:02+00:00
813081950185472002,2637,9534,2016-12-25 18:00:17+00:00
813066809284972545,1861,7638,2016-12-25 17:00:08+00:00
813051746834595840,6965,20173,2016-12-25 16:00:16+00:00
812781120811126785,1803,7234,2016-12-24 22:04:54+00:00
812709060537683968,1369,6370,2016-12-24 17:18:34+00:00
812503143955202048,1164,5843,2016-12-24 03:40:19+00:00
812466873996607488,1823,7662,2016-12-24 01:16:12+00:00
812372279581671427,3476,13117,2016-12-23 19:00:19+00:00
811985624773361665,1330,7004,2016-12-22 17:23:53+00:00
811744202451197953,1505,7255,2016-12-22 01:24:33+00:00
811647686436880384,695,5384,2016-12-21 19:01:02+00:00
811627233043480576,2898,12226,2016-12-21 17:39:46+00:00
811386762094317568,6062,20098,2016-12-21 01:44:13+00:00
810984652412424192,1350,5118,2016-12-19 23:06:23+00:00
810896069567610880,1661,8661,2016-12-19 17:14:23+00:00
810657578271330305,2502,10551,2016-12-19 01:26:42+00:00
810284430598270976,10649,33788,2016-12-18 00:43:57+00:00
810254108431155201,3211,14152,2016-12-17 22:43:27+00:00
809920764300447744,3739,14992,2016-12-17 00:38:52+00:00
809808892968534016,4657,0,2016-12-16 17:14:20+00:00
809448704142938112,1393,6702,2016-12-15 17:23:04+00:00
809220051211603969,5324,19150,2016-12-15 02:14:29+00:00
809084759137812480,3352,12726,2016-12-14 17:16:53+00:00
808838249661788160,2899,9778,2016-12-14 00:57:20+00:00
808733504066486276,2055,7605,2016-12-13 18:01:07+00:00
808501579447930884,2480,10910,2016-12-13 02:39:32+00:00
808344865868283904,19739,40715,2016-12-12 16:16:49+00:00
808134635716833280,5605,0,2016-12-12 02:21:26+00:00
808106460588765185,2088,8519,2016-12-12 00:29:28+00:00
808001312164028416,3357,12033,2016-12-11 17:31:39+00:00
807621403335917568,3438,14046,2016-12-10 16:22:02+00:00
807106840509214720,52452,113138,2016-12-09 06:17:20+00:00
807059379405148160,6982,0,2016-12-09 03:08:45+00:00
807010152071229440,3692,12659,2016-12-08 23:53:08+00:00
806629075125202948,32850,71490,2016-12-07 22:38:52+00:00
806620845233815552,5225,0,2016-12-07 22:06:10+00:00
806576416489959424,1856,4717,2016-12-07 19:09:37+00:00
806542213899489280,2246,9856,2016-12-07 16:53:43+00:00
806242860592926720,11034,0,2016-12-06 21:04:11+00:00
806219024703037440,1147,6225,2016-12-06 19:29:28+00:00
805958939288408065,5096,0,2016-12-06 02:15:59+00:00
805932879469572096,1830,8011,2016-12-06 00:32:26+00:00
805826884734976000,1739,6332,2016-12-05 17:31:15+00:00
805823200554876929,7594,0,2016-12-05 17:16:37+00:00
805520635690676224,1577,5549,2016-12-04 21:14:20+00:00
805487436403003392,2405,8467,2016-12-04 19:02:24+00:00
805207613751304193,1645,7568,2016-12-04 00:30:29+00:00
